ลำดับ,Username,ชื่อ-นามสกุล,วันเวลาที่เข้าสู่ระบบ,สถานะ,ช่องทาง
217,ggwp,man asdf1223,17/07/2023 11:26:04,สำเร็จ,Portal รพ.
218,ggwp,man asdf1223,17/07/2023 11:26:03,สำเร็จ,Portal รพ.
219,ggwp,man asdf1223,17/07/2023 11:25:40,สำเร็จ,Portal รพ.
220,ggwp,man asdf1223,17/07/2023 11:25:27,สำเร็จ,Portal รพ.
221,numberone,number one,17/07/2023 11:25:18,สำเร็จ,Portal สปส.
222,ggwp,man asdf1223,17/07/2023 11:25:00,สำเร็จ,Portal รพ.
223,numberone,number one,17/07/2023 11:19:52,สำเร็จ,Portal สปส.
224,numberone,number one,17/07/2023 11:14:50,สำเร็จ,Portal สปส.
225,numberone,number one,17/07/2023 11:11:57,สำเร็จ,Portal สปส.
226,ggwp,man asdf1223,17/07/2023 11:10:28,สำเร็จ,Portal รพ.
227,ggwp,man asdf1223,17/07/2023 11:10:02,สำเร็จ,Portal รพ.
228,numberone,number one,17/07/2023 11:09:27,สำเร็จ,Portal สปส.
229,ggwp,man asdf1223,17/07/2023 11:06:37,สำเร็จ,Portal รพ.
230,oper1,สมศรี ใจดี,17/07/2023 11:02:05,สำเร็จ,Portal รพ.
231,ggwp,man asdf1223,17/07/2023 10:54:53,สำเร็จ,Portal รพ.
232,oper1,สมศรี ใจดี,17/07/2023 10:50:47,สำเร็จ,Portal รพ.
233,ggwp,man asdf1223,17/07/2023 10:49:27,สำเร็จ,Portal รพ.
234,ggwp,man asdf1223,17/07/2023 10:48:01,สำเร็จ,Portal รพ.
235,numberone,number one,17/07/2023 10:23:24,สำเร็จ,Portal สปส.
236,ggwp,man asdf1223,17/07/2023 10:23:10,สำเร็จ,Portal รพ.
237,numberone,number one,17/07/2023 10:22:11,สำเร็จ,Portal สปส.
238,numberone,number one,17/07/2023 10:04:12,สำเร็จ,Portal สปส.
239,numberone,number one,17/07/2023 10:03:43,สำเร็จ,Portal สปส.
240,numberone,number one,17/07/2023 10:02:54,สำเร็จ,Portal สปส.
241,ggwp,man asdf1223,17/07/2023 10:01:57,สำเร็จ,Portal รพ.
242,numberone,number one,17/07/2023 10:01:53,สำเร็จ,Portal สปส.
243,numberone,number one,17/07/2023 09:51:30,สำเร็จ,Portal สปส.
244,numberone,number one,17/07/2023 09:49:36,สำเร็จ,Portal สปส.
245,numberone,number one,17/07/2023 09:49:13,สำเร็จ,Portal สปส.
246,ggwp,man asdf1223,17/07/2023 09:45:39,สำเร็จ,Portal รพ.
247,numberone,number one,17/07/2023 09:42:42,สำเร็จ,Portal สปส.
248,ggwp,man asdf1223,17/07/2023 09:37:51,สำเร็จ,Portal รพ.
249,numberone,number one,17/07/2023 09:37:24,สำเร็จ,Portal สปส.
250,ggwp,man asdf1223,17/07/2023 09:36:40,สำเร็จ,Portal รพ.
251,ggwp,man asdf1223,17/07/2023 09:33:57,สำเร็จ,Portal รพ.
252,numberone,number one,17/07/2023 09:32:57,สำเร็จ,Portal สปส.
253,numberone,number one,17/07/2023 09:31:30,สำเร็จ,Portal สปส.
254,numberone,number one,17/07/2023 09:31:01,สำเร็จ,Portal สปส.
255,numberone,number one,17/07/2023 09:29:36,สำเร็จ,Portal สปส.
256,numberone,number one,17/07/2023 09:27:03,สำเร็จ,Portal สปส.
257,numberone,number one,17/07/2023 09:24:24,สำเร็จ,Portal สปส.
258,numberone,number one,17/07/2023 09:22:47,สำเร็จ,Portal สปส.
259,1234567890123,แฟงฟี้ ฟี้แฟง,17/07/2023 09:21:20,สำเร็จ,Portal สปส.
260,numberone,number one,17/07/2023 09:20:09,สำเร็จ,Portal สปส.
261,numberone,number one,17/07/2023 09:19:06,สำเร็จ,Portal สปส.
262,numberone,number one,17/07/2023 09:17:51,สำเร็จ,Portal สปส.
263,numberone,number one,17/07/2023 09:14:10,สำเร็จ,Portal สปส.
264,ggwp,man asdf1223,17/07/2023 09:12:27,สำเร็จ,Portal รพ.
265,numberone,number one,17/07/2023 09:10:47,สำเร็จ,Portal สปส.
266,ggwp,man asdf1223,17/07/2023 09:10:19,สำเร็จ,Portal รพ.
267,ggwp,man asdf1223,17/07/2023 09:00:39,สำเร็จ,Portal รพ.
268,numberone,number one,17/07/2023 08:48:21,สำเร็จ,Portal สปส.
269,ggwp,man asdf1223,17/07/2023 08:23:17,สำเร็จ,Portal รพ.
270,ggwp,man asdf1223,17/07/2023 08:13:56,สำเร็จ,Portal รพ.
271,ggwp,man asdf1223,17/07/2023 08:12:04,สำเร็จ,Portal รพ.
272,numberone,number one,17/07/2023 08:08:33,สำเร็จ,Portal สปส.
273,ggwp,man asdf1223,17/07/2023 08:07:35,สำเร็จ,Portal รพ.
274,ggwp,man asdf1223,17/07/2023 08:07:15,สำเร็จ,Portal รพ.
275,ggwp,man asdf1223,17/07/2023 08:06:45,สำเร็จ,Portal รพ.
276,ggwp,man asdf1223,17/07/2023 07:55:02,สำเร็จ,Portal รพ.
277,oper1,สมศรี ใจดี,17/07/2023 07:43:40,สำเร็จ,Portal รพ.
278,ggwp,man asdf1223,17/07/2023 07:43:33,สำเร็จ,Portal รพ.
279,ggwp,man asdf1223,17/07/2023 07:43:17,สำเร็จ,Portal รพ.
280,ggwp,man asdf1223,17/07/2023 07:37:43,สำเร็จ,Portal รพ.
281,ggwp,man asdf1223,17/07/2023 07:32:57,สำเร็จ,Portal รพ.
282,ggwp,man asdf1223,17/07/2023 07:29:56,สำเร็จ,Portal รพ.
283,ggwp,man asdf1223,17/07/2023 07:26:23,สำเร็จ,Portal รพ.
284,ggwp,man asdf1223,17/07/2023 07:15:28,สำเร็จ,Portal รพ.
285,ggwp,man asdf1223,17/07/2023 07:13:46,สำเร็จ,Portal รพ.
286,numberone,number one,17/07/2023 07:12:25,สำเร็จ,Portal สปส.
287,ggwp,man asdf1223,17/07/2023 07:11:03,สำเร็จ,Portal รพ.
288,ggwp,man asdf1223,17/07/2023 07:10:16,สำเร็จ,Portal รพ.
289,numberone,number one,17/07/2023 07:07:32,สำเร็จ,Portal สปส.
290,ggwp,man asdf1223,17/07/2023 07:01:49,สำเร็จ,Portal รพ.
291,ggwp,man asdf1223,17/07/2023 07:01:47,สำเร็จ,Portal รพ.
292,ggwp,man asdf1223,17/07/2023 07:01:46,สำเร็จ,Portal รพ.
293,numberone,number one,17/07/2023 07:01:10,สำเร็จ,Portal สปส.
294,ggwp,man asdf1223,17/07/2023 06:53:03,สำเร็จ,Portal รพ.
295,numberone,number one,17/07/2023 06:46:42,สำเร็จ,Portal สปส.
296,numberone,number one,17/07/2023 06:42:56,สำเร็จ,Portal สปส.
297,ggwp,man asdf1223,17/07/2023 06:42:52,สำเร็จ,Portal รพ.
298,ggwp,man asdf1223,17/07/2023 06:34:36,สำเร็จ,Portal รพ.
299,9999999.admin,superrrrrrr suckerrrrrr,17/07/2023 06:28:44,สำเร็จ,Portal รพ.
300,ggwp,man asdf1223,17/07/2023 06:26:15,สำเร็จ,Portal รพ.
301,oper1,สมศรี ใจดี,17/07/2023 06:26:07,สำเร็จ,
302,numberone,number one,17/07/2023 06:14:39,สำเร็จ,Portal สปส.
303,ggwp,man asdf1223,17/07/2023 06:04:27,สำเร็จ,Portal รพ.
304,ggwp,man asdf1223,17/07/2023 06:04:07,สำเร็จ,Portal รพ.
305,ggwp,man asdf1223,17/07/2023 06:03:17,สำเร็จ,Portal รพ.
306,ggwp,man asdf1223,17/07/2023 06:02:59,สำเร็จ,Portal รพ.
307,numberone,number one,17/07/2023 06:02:01,สำเร็จ,Portal สปส.
308,numberone,number one,17/07/2023 06:00:58,สำเร็จ,Portal สปส.
309,oper1,สมศรี ใจดี,17/07/2023 05:49:00,สำเร็จ,Portal รพ.
310,oper1,สมศรี ใจดี,17/07/2023 05:48:35,สำเร็จ,
311,ggwp,man asdf1223,17/07/2023 05:40:09,สำเร็จ,Portal รพ.
312,numberone,number one,17/07/2023 05:39:07,สำเร็จ,Portal สปส.
313,numberone,number one,17/07/2023 05:35:46,สำเร็จ,Portal สปส.
314,oper1,สมศรี ใจดี,17/07/2023 05:32:52,สำเร็จ,
315,oper1,สมศรี ใจดี,17/07/2023 05:31:31,สำเร็จ,
316,oper1,สมศรี ใจดี,17/07/2023 05:30:30,สำเร็จ,
317,oper1,สมศรี ใจดี,17/07/2023 05:29:35,สำเร็จ,
318,oper1,สมศรี ใจดี,17/07/2023 05:29:28,สำเร็จ,
319,oper1,สมศรี ใจดี,17/07/2023 05:28:49,สำเร็จ,
320,oper1,สมศรี ใจดี,17/07/2023 05:28:39,สำเร็จ,
321,ggwp,man asdf1223,17/07/2023 05:28:19,สำเร็จ,Portal รพ.
322,ggwp,man asdf1223,17/07/2023 05:27:26,สำเร็จ,Portal รพ.
323,ggwp,man asdf1223,17/07/2023 05:27:22,สำเร็จ,Portal รพ.
324,oper1,สมศรี ใจดี,17/07/2023 05:24:23,สำเร็จ,
325,oper1,สมศรี ใจดี,17/07/2023 05:24:16,สำเร็จ,
326,oper1,สมศรี ใจดี,17/07/2023 05:24:03,สำเร็จ,
327,oper1,สมศรี ใจดี,17/07/2023 05:23:17,สำเร็จ,
328,oper1,สมศรี ใจดี,17/07/2023 05:22:49,สำเร็จ,
329,oper1,สมศรี ใจดี,17/07/2023 05:22:43,สำเร็จ,
330,oper1,สมศรี ใจดี,17/07/2023 05:22:29,สำเร็จ,
331,ggwp,man asdf1223,17/07/2023 05:20:39,สำเร็จ,Portal รพ.
332,ggwp,man asdf1223,17/07/2023 05:20:24,สำเร็จ,Portal รพ.
333,9999999.admin,superrrrrrr suckerrrrrr,17/07/2023 05:19:34,สำเร็จ,Portal รพ.
334,ggwp,man asdf1223,17/07/2023 05:19:15,สำเร็จ,Portal รพ.
335,ggwp,man asdf1223,17/07/2023 05:18:59,สำเร็จ,Portal รพ.
336,numberone,number one,17/07/2023 05:15:37,สำเร็จ,Portal สปส.
337,ggwp,man asdf1223,17/07/2023 05:12:17,สำเร็จ,Portal รพ.
338,oper1,สมศรี ใจดี,17/07/2023 05:11:46,สำเร็จ,
339,ggwp,man asdf1223,17/07/2023 05:11:27,สำเร็จ,Portal รพ.
340,oper1,สมศรี ใจดี,17/07/2023 05:11:15,สำเร็จ,
341,oper1,สมศรี ใจดี,17/07/2023 05:10:28,สำเร็จ,
