ลำดับ,Username,ชื่อ-นามสกุล,วันเวลาที่เข้าสู่ระบบ,สถานะ,ช่องทาง
112,numberone,number one,20/07/2023 08:34:50,สำเร็จ,Portal สปส.
113,oper2,oper2 oper2,20/07/2023 08:34:13,สำเร็จ,Portal รพ.
114,numberone,number one,20/07/2023 08:30:07,สำเร็จ,Portal สปส.
115,oper1,สมศรี ใจดี,20/07/2023 08:22:15,สำเร็จ,Portal รพ.
116,numberone,number one,20/07/2023 08:19:25,สำเร็จ,Portal สปส.
117,numberone,number one,20/07/2023 08:11:58,สำเร็จ,Portal สปส.
118,001000500.admin,สมบัติ บัวสิงห์,20/07/2023 08:10:45,สำเร็จ,Portal รพ.
119,numberone,number one,20/07/2023 08:08:23,สำเร็จ,Portal สปส.
120,numberone,number one,20/07/2023 08:08:04,สำเร็จ,Portal สปส.
121,numberone,number one,20/07/2023 08:06:56,สำเร็จ,Portal สปส.
122,ggwp,man asdf1223,20/07/2023 08:02:02,สำเร็จ,Portal รพ.
123,oper1,สมศรี ใจดี,20/07/2023 07:58:06,สำเร็จ,Portal รพ.
124,ggwp,man asdf1223,20/07/2023 07:56:55,สำเร็จ,Portal รพ.
125,oper1,สมศรี ใจดี,20/07/2023 07:49:30,สำเร็จ,Portal รพ.
126,ggwp,man asdf1223,20/07/2023 07:48:53,สำเร็จ,Portal รพ.
127,oper1,สมศรี ใจดี,20/07/2023 07:48:12,สำเร็จ,Portal รพ.
128,oper1,สมศรี ใจดี,20/07/2023 07:47:11,สำเร็จ,Portal รพ.
129,ggwp,man asdf1223,20/07/2023 07:45:16,สำเร็จ,Portal รพ.
130,ggwp,man asdf1223,20/07/2023 07:44:06,สำเร็จ,Portal รพ.
131,numberone,number one,20/07/2023 07:30:07,สำเร็จ,Portal สปส.
132,ggwp,man asdf1223,20/07/2023 07:29:49,สำเร็จ,Portal รพ.
133,ggwp,man asdf1223,20/07/2023 07:27:58,สำเร็จ,Portal รพ.
134,oper1,สมศรี ใจดี,20/07/2023 07:27:58,สำเร็จ,Portal รพ.
135,numberone,number one,20/07/2023 07:18:07,สำเร็จ,Portal สปส.
136,numberone,number one,20/07/2023 07:16:15,สำเร็จ,Portal สปส.
137,987654321.admin,ไสว พนา,20/07/2023 07:16:09,สำเร็จ,Portal รพ.
138,ggwp,man asdf1223,20/07/2023 07:13:21,สำเร็จ,Portal รพ.
139,numberone,number one,20/07/2023 07:13:18,สำเร็จ,Portal สปส.
140,987654321.admin,ไสว พนา,20/07/2023 07:08:43,สำเร็จ,Portal รพ.
141,12345.admin,ศิริพร ทับสิงห์,20/07/2023 07:03:49,สำเร็จ,Portal รพ.
142,ggwp,man asdf1223,20/07/2023 07:03:17,สำเร็จ,Portal รพ.
143,12345.admin,ศิริพร ทับสิงห์,20/07/2023 07:02:55,สำเร็จ,Portal รพ.
144,ggwp,man asdf1223,20/07/2023 06:58:45,สำเร็จ,Portal รพ.
145,ggwp,man asdf1223,20/07/2023 06:55:50,สำเร็จ,Portal รพ.
146,ggwp,man asdf1223,20/07/2023 06:47:47,สำเร็จ,Portal รพ.
147,numberone,number one,20/07/2023 06:36:47,สำเร็จ,Portal สปส.
148,numberone,number one,20/07/2023 06:30:37,สำเร็จ,Portal สปส.
149,12345.admin,ศิริพร ทับสิงห์,20/07/2023 06:29:50,สำเร็จ,Portal รพ.
150,ggwp,man asdf1223,20/07/2023 06:29:11,สำเร็จ,Portal รพ.
151,ggwp,man asdf1223,20/07/2023 06:23:45,สำเร็จ,Portal รพ.
152,987654321.admin,ไสว พนา,20/07/2023 06:21:35,สำเร็จ,Portal รพ.
153,ggwp,man asdf1223,20/07/2023 06:20:56,สำเร็จ,Portal รพ.
154,ggwp,man asdf1223,20/07/2023 06:16:20,สำเร็จ,Portal รพ.
155,987654321.admin,ไสว พนา,20/07/2023 06:16:10,สำเร็จ,Portal รพ.
156,987654321.admin,ไสว พนา,20/07/2023 06:13:16,สำเร็จ,Portal รพ.
157,numberone," ",20/07/2023 06:04:23,สำเร็จ,
158,numberone," ",20/07/2023 06:03:05,สำเร็จ,
159,ggwp,man asdf1223,20/07/2023 05:50:39,สำเร็จ,Portal รพ.
160,oper1,สมศรี ใจดี,20/07/2023 05:24:40,สำเร็จ,Portal รพ.
161,numberone,number one,20/07/2023 04:54:23,สำเร็จ,Portal สปส.
162,oper1,สมศรี ใจดี,20/07/2023 04:44:23,สำเร็จ,Portal รพ.
163,ggwp,man asdf1223,20/07/2023 04:41:32,สำเร็จ,Portal รพ.
164,-.admin,สมศรี ใจดี,20/07/2023 04:41:02,สำเร็จ,
165,oper1,สมศรี ใจดี,20/07/2023 04:40:05,สำเร็จ,Portal รพ.
166,oper1,สมศรี ใจดี,20/07/2023 04:35:26,สำเร็จ,Portal รพ.
167,oper1,สมศรี ใจดี,20/07/2023 04:27:30,สำเร็จ,Portal รพ.
168,oper1,สมศรี ใจดี,20/07/2023 04:26:21,สำเร็จ,Portal รพ.
169,ggwp,man asdf1223,20/07/2023 04:23:47,สำเร็จ,Portal รพ.
170,ggwp,man asdf1223,20/07/2023 04:12:42,สำเร็จ,Portal รพ.
171,ggwp,man asdf1223,20/07/2023 04:10:57,สำเร็จ,Portal รพ.
172,-.admin,สมศรี ใจดี,20/07/2023 04:10:36,สำเร็จ,
173,-.admin,สมศรี ใจดี,20/07/2023 04:10:23,สำเร็จ,
174,555555555.admin,กล้วยหอม จอมชน,20/07/2023 03:57:33,สำเร็จ,Portal รพ.
175,ggwp,man asdf1223,20/07/2023 03:50:18,สำเร็จ,Portal รพ.
176,ggwp,man asdf1223,20/07/2023 03:44:20,สำเร็จ,Portal รพ.
177,oper1,สมศรี ใจดี,20/07/2023 03:44:08,สำเร็จ,Portal รพ.
178,ggwp,man asdf1223,20/07/2023 03:35:09,สำเร็จ,Portal รพ.
179,ggwp,man asdf1223,20/07/2023 03:30:26,สำเร็จ,Portal รพ.
180,-.admin,สมศรี ใจดี,20/07/2023 03:23:22,สำเร็จ,
181,oper1,สมศรี ใจดี,20/07/2023 03:22:58,สำเร็จ,Portal รพ.
182,oper2,oper2 oper2,20/07/2023 03:17:08,สำเร็จ,
183,oper1,สมศรี ใจดี,20/07/2023 03:10:12,สำเร็จ,Portal รพ.
184,ggwp,man asdf1223,20/07/2023 03:03:16,สำเร็จ,Portal รพ.
185,ggwp,man asdf1223,20/07/2023 02:51:32,สำเร็จ,Portal รพ.
186,ggwp,man asdf1223,20/07/2023 02:50:03,สำเร็จ,Portal รพ.
187,numberone,number one,20/07/2023 02:47:24,สำเร็จ,Portal สปส.
188,numberone," ",20/07/2023 02:46:41,สำเร็จ,
189,ggwp,man asdf1223,20/07/2023 02:46:26,สำเร็จ,Portal รพ.
190,ggwp,man asdf1223,20/07/2023 02:40:21,สำเร็จ,Portal รพ.
191,oper1,สมศรี ใจดี,20/07/2023 02:37:08,สำเร็จ,Portal รพ.
192,numberone,number one,20/07/2023 02:27:37,สำเร็จ,Portal สปส.
193,numberone,number one,20/07/2023 02:15:44,สำเร็จ,Portal สปส.
194,numberone,number one,20/07/2023 02:15:31,สำเร็จ,Portal สปส.
195,numberone,number one,20/07/2023 02:13:18,สำเร็จ,Portal สปส.
196,numberone,number one,20/07/2023 02:12:00,สำเร็จ,Portal สปส.
197,ggwp," ",20/07/2023 02:05:12,สำเร็จ,
198,ggwp," ",20/07/2023 02:00:17,สำเร็จ,
199,ggwp,man asdf1223,20/07/2023 00:57:27,สำเร็จ,Portal รพ.
200,ggwp,man asdf1223,19/07/2023 21:40:41,สำเร็จ,Portal รพ.
201,ggwp,man asdf1223,19/07/2023 18:38:04,สำเร็จ,Portal รพ.
202,ggwp,man asdf1223,19/07/2023 18:32:13,สำเร็จ,Portal รพ.
203,ggwp,man asdf1223,19/07/2023 18:30:34,สำเร็จ,Portal รพ.
204,numberone,number one,19/07/2023 18:23:53,สำเร็จ,Portal สปส.
205,ggwp,man asdf1223,19/07/2023 18:22:03,สำเร็จ,Portal รพ.
206,ggwp,man asdf1223,19/07/2023 18:18:22,สำเร็จ,Portal รพ.
207,ggwp,man asdf1223,19/07/2023 18:10:25,สำเร็จ,Portal รพ.
208,numberone,number one,19/07/2023 18:09:16,สำเร็จ,Portal สปส.
209,ggwp,man asdf1223,19/07/2023 18:08:06,สำเร็จ,Portal รพ.
210,ggwp,man asdf1223,19/07/2023 18:07:55,สำเร็จ,Portal รพ.
211,numberone,number one,19/07/2023 18:07:31,สำเร็จ,Portal สปส.
212,numberone,number one,19/07/2023 18:07:29,สำเร็จ,Portal สปส.
213,numberone,number one,19/07/2023 18:07:21,สำเร็จ,Portal สปส.
214,ggwp,man asdf1223,19/07/2023 18:03:18,สำเร็จ,Portal รพ.
215,numberone,number one,19/07/2023 18:00:23,สำเร็จ,Portal สปส.
216,numberone,number one,19/07/2023 17:54:39,สำเร็จ,Portal สปส.
217,numberone,number one,19/07/2023 17:52:49,สำเร็จ,Portal สปส.
218,numberone,number one,19/07/2023 17:39:00,สำเร็จ,Portal สปส.
219,numberone,number one,19/07/2023 17:29:35,สำเร็จ,Portal สปส.
220,ggwp,man asdf1223,19/07/2023 17:20:22,สำเร็จ,Portal รพ.
221,numberone,number one,19/07/2023 17:17:21,สำเร็จ,Portal สปส.
222,numberone,number one,19/07/2023 16:58:08,สำเร็จ,Portal สปส.
223,numberone,number one,19/07/2023 16:55:31,สำเร็จ,Portal สปส.
224,numberone,number one,19/07/2023 16:51:55,สำเร็จ,Portal สปส.
225,ggwp,man asdf1223,19/07/2023 16:51:11,สำเร็จ,Portal รพ.
226,numberone,number one,19/07/2023 16:49:55,สำเร็จ,Portal สปส.
227,numberone,number one,19/07/2023 16:43:20,สำเร็จ,Portal สปส.
228,ggwp,man asdf1223,19/07/2023 16:37:04,สำเร็จ,Portal รพ.
229,numberone,number one,19/07/2023 16:36:40,สำเร็จ,Portal สปส.
230,numberone,number one,19/07/2023 16:34:18,สำเร็จ,Portal สปส.
231,numberone,number one,19/07/2023 16:32:08,สำเร็จ,Portal สปส.
232,numberone,number one,19/07/2023 16:28:33,สำเร็จ,Portal สปส.
233,ggwp,man asdf1223,19/07/2023 16:24:10,สำเร็จ,Portal รพ.
234,numberone,number one,19/07/2023 16:23:29,สำเร็จ,Portal สปส.
235,numberone,number one,19/07/2023 16:23:27,สำเร็จ,Portal สปส.
236,numberone,number one,19/07/2023 16:20:36,สำเร็จ,Portal สปส.
237,ggwp,man asdf1223,19/07/2023 16:20:29,สำเร็จ,Portal รพ.
238,numberone,number one,19/07/2023 16:19:29,สำเร็จ,Portal สปส.
239,numberone,number one,19/07/2023 16:14:05,สำเร็จ,Portal สปส.
240,ggwp,man asdf1223,19/07/2023 16:11:40,สำเร็จ,Portal รพ.
241,ggwp,man asdf1223,19/07/2023 16:05:58,สำเร็จ,Portal รพ.
242,numberone,number one,19/07/2023 16:03:19,สำเร็จ,Portal สปส.
243,ggwp,man asdf1223,19/07/2023 16:02:15,สำเร็จ,Portal รพ.
244,oper1,สมศรี ใจดี,19/07/2023 16:01:39,สำเร็จ,Portal รพ.
245,ggwp,man asdf1223,19/07/2023 16:01:02,สำเร็จ,Portal รพ.
246,numberone,number one,19/07/2023 15:59:53,สำเร็จ,Portal สปส.
247,numberone,number one,19/07/2023 15:58:14,สำเร็จ,Portal สปส.
248,numberone,number one,19/07/2023 15:55:19,สำเร็จ,Portal สปส.
249,numberone,number one,19/07/2023 15:51:04,สำเร็จ,Portal สปส.
250,numberone,number one,19/07/2023 15:48:14,สำเร็จ,Portal สปส.
251,ggwp,man asdf1223,19/07/2023 15:46:11,สำเร็จ,Portal รพ.
252,numberone,number one,19/07/2023 15:44:50,สำเร็จ,Portal สปส.
253,ggwp,man asdf1223,19/07/2023 15:44:48,สำเร็จ,Portal รพ.
254,numberone,number one,19/07/2023 15:35:12,สำเร็จ,Portal สปส.
255,numberone,number one,19/07/2023 15:34:26,สำเร็จ,Portal สปส.
256,numberone,number one,19/07/2023 15:34:05,สำเร็จ,Portal สปส.
257,numberone,number one,19/07/2023 15:32:34,สำเร็จ,Portal สปส.
258,numberone,number one,19/07/2023 15:31:02,สำเร็จ,Portal สปส.
259,numberone,number one,19/07/2023 15:29:48,สำเร็จ,Portal สปส.
260,numberone,number one,19/07/2023 15:29:03,สำเร็จ,Portal สปส.
261,numberone,number one,19/07/2023 15:28:14,สำเร็จ,Portal สปส.
262,ggwp,man asdf1223,19/07/2023 15:26:42,สำเร็จ,
263,ggwp,man asdf1223,19/07/2023 15:23:24,สำเร็จ,Portal รพ.
264,numberone,number one,19/07/2023 15:09:44,สำเร็จ,Portal สปส.
265,ggwp,man asdf1223,19/07/2023 15:09:27,สำเร็จ,Portal รพ.
266,numberone,number one,19/07/2023 15:04:36,สำเร็จ,Portal สปส.
267,numberone,number one,19/07/2023 15:00:07,สำเร็จ,Portal สปส.
268,ggwp,man asdf1223,19/07/2023 14:57:00,สำเร็จ,Portal รพ.
269,numberone,number one,19/07/2023 14:51:31,สำเร็จ,Portal สปส.
270,numberone,number one,19/07/2023 14:49:42,สำเร็จ,Portal สปส.
271,ggwp,man asdf1223,19/07/2023 14:46:46,สำเร็จ,Portal รพ.
272,numberone,number one,19/07/2023 14:43:07,สำเร็จ,Portal สปส.
273,numberone,number one,19/07/2023 14:41:13,สำเร็จ,Portal สปส.
274,numberone,number one,19/07/2023 14:37:50,สำเร็จ,Portal สปส.
275,numberone,number one,19/07/2023 14:36:58,สำเร็จ,Portal สปส.
276,numberone,number one,19/07/2023 14:32:19,สำเร็จ,Portal สปส.
277,numberone,number one,19/07/2023 14:30:58,สำเร็จ,Portal สปส.
278,numberone,number one,19/07/2023 14:29:39,สำเร็จ,Portal สปส.
279,numberone,number one,19/07/2023 14:27:11,สำเร็จ,Portal สปส.
280,numberone,number one,19/07/2023 14:23:43,สำเร็จ,Portal สปส.
281,numberone,number one,19/07/2023 14:23:18,สำเร็จ,Portal สปส.
282,ggwp,man asdf1223,19/07/2023 14:22:07,สำเร็จ,Portal รพ.
283,numberone,number one,19/07/2023 14:09:15,สำเร็จ,Portal สปส.
284,ggwp,man asdf1223,19/07/2023 14:05:40,สำเร็จ,Portal รพ.
285,ggwp,man asdf1223,19/07/2023 14:00:09,สำเร็จ,Portal รพ.
286,numberone,number one,19/07/2023 13:56:12,สำเร็จ,Portal สปส.
287,ggwp,man asdf1223,19/07/2023 13:54:21,สำเร็จ,Portal รพ.
288,ggwp,man asdf1223,19/07/2023 13:46:28,สำเร็จ,Portal รพ.
289,ggwp,man asdf1223,19/07/2023 13:37:48,สำเร็จ,Portal รพ.
290,ggwp,man asdf1223,19/07/2023 13:37:30,สำเร็จ,Portal รพ.
291,numberone,number one,19/07/2023 13:36:56,สำเร็จ,Portal สปส.
292,numberone,number one,19/07/2023 13:36:43,สำเร็จ,Portal สปส.
293,numberone,number one,19/07/2023 13:33:41,สำเร็จ,Portal สปส.
294,numberone,number one,19/07/2023 13:32:42,สำเร็จ,Portal สปส.
295,numberone,number one,19/07/2023 13:31:20,สำเร็จ,Portal สปส.
296,numberone,number one,19/07/2023 13:31:01,สำเร็จ,Portal สปส.
297,numberone,number one,19/07/2023 13:27:52,สำเร็จ,Portal สปส.
298,numberone,number one,19/07/2023 13:25:07,สำเร็จ,Portal สปส.
299,numberone,number one,19/07/2023 13:22:40,สำเร็จ,Portal สปส.
300,numberone,number one,19/07/2023 13:22:00,สำเร็จ,Portal สปส.
301,numberone,number one,19/07/2023 13:17:42,สำเร็จ,Portal สปส.
302,numberone,number one,19/07/2023 13:16:17,สำเร็จ,Portal สปส.
303,ggwp,man asdf1223,19/07/2023 13:11:37,สำเร็จ,Portal รพ.
304,numberone,number one,19/07/2023 13:11:05,สำเร็จ,Portal สปส.
305,numberone,number one,19/07/2023 13:06:26,สำเร็จ,Portal สปส.
306,numberone,number one,19/07/2023 13:04:31,สำเร็จ,Portal สปส.
307,numberone,number one,19/07/2023 13:03:24,สำเร็จ,Portal สปส.
308,numberone,number one,19/07/2023 13:01:05,สำเร็จ,Portal สปส.
309,numberone,number one,19/07/2023 13:01:02,สำเร็จ,Portal สปส.
310,numberone,number one,19/07/2023 12:57:14,สำเร็จ,Portal สปส.
311,numberone,number one,19/07/2023 12:56:42,สำเร็จ,Portal สปส.
312,numberone,number one,19/07/2023 12:55:11,สำเร็จ,Portal สปส.
313,numberone,number one,19/07/2023 12:53:43,สำเร็จ,Portal สปส.
314,numberone,number one,19/07/2023 12:51:33,สำเร็จ,Portal สปส.
315,numberone,number one,19/07/2023 12:11:15,สำเร็จ,Portal สปส.
316,numberone,number one,19/07/2023 12:07:13,สำเร็จ,Portal สปส.
317,numberone,number one,19/07/2023 11:57:55,สำเร็จ,Portal สปส.
318,numberone,number one,19/07/2023 11:55:08,สำเร็จ,Portal สปส.
319,numberone,number one,19/07/2023 11:36:53,สำเร็จ,Portal สปส.
320,numberone,number one,19/07/2023 11:35:30,สำเร็จ,Portal สปส.
321,numberone,number one,19/07/2023 11:34:14,สำเร็จ,Portal สปส.
322,numberone,number one,19/07/2023 11:33:38,สำเร็จ,Portal สปส.
323,numberone,number one,19/07/2023 11:33:35,สำเร็จ,Portal สปส.
324,numberone,number one,19/07/2023 11:32:34,สำเร็จ,Portal สปส.
325,numberone,number one,19/07/2023 11:31:35,สำเร็จ,Portal สปส.
326,numberone,number one,19/07/2023 11:28:48,สำเร็จ,Portal สปส.
327,numberone,number one,19/07/2023 11:27:39,สำเร็จ,Portal สปส.
328,numberone,number one,19/07/2023 11:26:49,สำเร็จ,Portal สปส.
329,numberone,number one,19/07/2023 11:26:42,สำเร็จ,Portal สปส.
330,numberone,number one,19/07/2023 11:25:53,สำเร็จ,Portal สปส.
331,numberone,number one,19/07/2023 11:24:58,สำเร็จ,Portal สปส.
332,numberone,number one,19/07/2023 11:21:18,สำเร็จ,Portal สปส.
333,numberone,number one,19/07/2023 11:19:52,สำเร็จ,Portal สปส.
334,numberone,number one,19/07/2023 11:19:44,สำเร็จ,Portal สปส.
335,numberone,number one,19/07/2023 11:18:38,สำเร็จ,Portal สปส.
336,numberone,number one,19/07/2023 11:17:51,สำเร็จ,Portal สปส.
337,numberone,number one,19/07/2023 11:16:59,สำเร็จ,Portal สปส.
338,numberone,number one,19/07/2023 11:14:44,สำเร็จ,Portal สปส.
339,numberone,number one,19/07/2023 11:12:33,สำเร็จ,Portal สปส.
340,ggwp,man asdf1223,19/07/2023 11:09:56,สำเร็จ,Portal รพ.
341,ggwp,man asdf1223,19/07/2023 11:09:36,สำเร็จ,Portal รพ.
342,numberone,number one,19/07/2023 11:09:19,สำเร็จ,Portal สปส.
343,numberone,number one,19/07/2023 11:09:19,สำเร็จ,Portal สปส.
344,numberone,number one,19/07/2023 11:09:13,สำเร็จ,Portal สปส.
345,ggwp,man asdf1223,19/07/2023 11:06:45,สำเร็จ,Portal รพ.
346,numberone,number one,19/07/2023 11:05:05,สำเร็จ,Portal สปส.
347,numberone,number one,19/07/2023 11:04:55,สำเร็จ,Portal สปส.
348,numberone,number one,19/07/2023 11:02:47,สำเร็จ,Portal สปส.
349,numberone,number one,19/07/2023 10:53:28,สำเร็จ,Portal สปส.
350,oper1,สมศรี ใจดี,19/07/2023 10:53:15,สำเร็จ,Portal รพ.
